name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets,colors,tags,nutrition
Beef Quesadilla Por Favor,beef-quesadilla,Freshly grilled beef & vibrant nutrient-packed veggies wrapped in wholesome Atta flour quesadilla complemented by a luscious avocado feta pairing,,category:Grills,,,,,2300.00,,,,,"{""bgColor"": ""from-amber-800 via-orange-700 to-red-700"", ""accentColor"": ""bg-orange-600""}","[{""label"": ""High-Protein"", ""icon"": ""ğŸ’ª""}, {""label"": ""Wholesome"", ""icon"": ""ğŸŒ¾""}]","{""fat"": ""50.5g"", ""protein"": ""41.1g"", ""carbs"": ""59.2g"", ""calories"": ""929""}"
Chicken Quesadilla Por Favor,chicken-quesadilla,Freshly grilled tender chicken & vibrant nutrient-packed veggies wrapped in wholesome Atta flour quesadilla complemented by a luscious avocado feta pairing,,category:Grills,,,,,2400.00,,,,,"{""bgColor"": ""from-yellow-600 via-orange-500 to-amber-600"", ""accentColor"": ""bg-yellow-500""}","[{""label"": ""High-Protein"", ""icon"": ""ğŸ’ª""}, {""label"": ""Lean"", ""icon"": ""ğŸƒ""}]","{""fat"": ""28.4g"", ""protein"": ""33.3g"", ""carbs"": ""62.3g"", ""calories"": ""715""}"
Prawn Quesadilla Por Favor,prawn-quesadilla,Freshly grilled garlic prawns & vibrant nutrient-packed veggies wrapped in wholesome Atta flour quesadilla complemented by a luscious avocado feta pairing,,category:Grills,,,,,2500.00,,,,,"{""bgColor"": ""from-orange-500 via-pink-500 to-red-500"", ""accentColor"": ""bg-pink-500""}","[{""label"": ""Seafood"", ""icon"": ""ğŸ¦""}, {""label"": ""High-Protein"", ""icon"": ""ğŸ’ª""}, {""label"": ""Omega-3"", ""icon"": ""ğŸŸ""}]","{""fat"": ""40.3g"", ""protein"": ""50.9g"", ""carbs"": ""34.9g"", ""calories"": ""743""}"
Oh My....OMEGA! Salmon,omega-salmon,Perfectly baked Norwegian salmon fillet crowned with a tantalizing citrus orange compote on a bed of luxuriously creamy avocado hollandaise. Accompanied by roasted sweet potato wedges and a refreshing crisp garden salad,,category:Grills,,,,,3800.00,,,,,"{""bgColor"": ""from-orange-600 via-salmon-500 to-pink-600"", ""accentColor"": ""bg-salmon-500""}","[{""label"": ""Premium"", ""icon"": ""â­""}, {""label"": ""Omega-3"", ""icon"": ""ğŸŸ""}, {""label"": ""Heart-Healthy"", ""icon"": ""â¤ï¸""}]","{""fat"": ""40.3g"", ""protein"": ""50.9g"", ""carbs"": ""34.9g"", ""calories"": ""743""}"
Power Steak O'clock Heart Healthy,power-steak,Tender flavorful roasted Beef Steak paired with creamy green pea puree savory eggplant relish served with golden-baked baby potatoes fresh crisp garden salad and roasted garlic,,category:Grills,,,,,3400.00,,,,,"{""bgColor"": ""from-red-800 via-red-700 to-amber-700"", ""accentColor"": ""bg-red-700""}","[{""label"": ""High-Protein"", ""icon"": ""ğŸ’ª""}, {""label"": ""Heart-Healthy"", ""icon"": ""â¤ï¸""}, {""label"": ""Iron-Rich"", ""icon"": ""ğŸ”´""}]","{""fat"": ""31g"", ""protein"": ""70.2g"", ""carbs"": ""39.3g"", ""calories"": ""731""}"
Fin-Tastic Barramundi,fin-tastic-barramundi,A succulent Barramundi fish fillet kissed by the grill crowned with cherry tomatoes and basil compote. Served alongside baked baby potatoes and a crisp green salad,,category:Grills,,,,,3900.00,,,,,"{""bgColor"": ""from-blue-600 via-teal-600 to-green-600"", ""accentColor"": ""bg-teal-600""}","[{""label"": ""Lean Fish"", ""icon"": ""ğŸŸ""}, {""label"": ""Low-Fat"", ""icon"": ""ğŸ’š""}, {""label"": ""High-Protein"", ""icon"": ""ğŸ’ª""}]","{""fat"": ""16.7g"", ""protein"": ""48.7g"", ""carbs"": ""40.4g"", ""calories"": ""510""}"
Honey Mustard Chicken,honey-mustard-chicken,Succulent baked chicken marinated in a rich honey mustard blend delivering the perfect balance of sweet and tangy. Topped with a vibrant pineapple & watermelon salsa and drizzled with our signature honey mustard sauce. Served alongside golden roasted sweet potato wedges and a refreshing crisp green salad,,category:Grills,,,,,1900.00,,,,,"{""bgColor"": ""from-amber-500 via-yellow-500 to-orange-500"", ""accentColor"": ""bg-yellow-500""}","[{""label"": ""Sweet & Tangy"", ""icon"": ""ğŸ¯""}, {""label"": ""Lean Protein"", ""icon"": ""ğŸ”""}]","{""fat"": ""15.5g"", ""protein"": ""57.4g"", ""carbs"": ""56.9g"", ""calories"": ""648""}"
Thai Spiced Chicken,thai-spiced-chicken,Succulent chicken baked to perfection in our signature Thai-spiced marinade bursting with bold exotic flavor. Drizzled with a vibrant cilantro dressing and topped with a juicy tropical pineapple & watermelon salsa that delivers a sweet-and-spicy punch. Served alongside velvety sweet potato mash and a crisp green salad,,category:Grills,,,,,1900.00,,,,,"{""bgColor"": ""from-red-600 via-orange-600 to-yellow-600"", ""accentColor"": ""bg-orange-600""}","[{""label"": ""Spicy"", ""icon"": ""ğŸŒ¶ï¸""}, {""label"": ""Exotic"", ""icon"": ""ğŸŒ""}, {""label"": ""High-Protein"", ""icon"": ""ğŸ’ª""}]","{""fat"": ""36.4g"", ""protein"": ""76.5g"", ""carbs"": ""110.2g"", ""calories"": ""1105""}"
Vitamin Rich Coconut Chicken,coconut-chicken,Tender oven-baked chicken coated in a nutrient-dense blend of coconut and kurakkan breadcrumbs offering a warm wholesome crunch. Finished with a fragrant lemongrass sauce and topped with finely sliced green chillies for a subtle kick. Served with velvety sweet potato mash and a crisp green salad,,category:Grills,,,,,2400.00,,,,,"{""bgColor"": ""from-amber-600 via-orange-500 to-yellow-500"", ""accentColor"": ""bg-amber-500""}","[{""label"": ""Coconut"", ""icon"": ""ğŸ¥¥""}, {""label"": ""Vitamin-Rich"", ""icon"": ""ğŸ’Š""}, {""label"": ""Crunchy"", ""icon"": ""ğŸ¥–""}]","{""fat"": ""22.7g"", ""protein"": ""80.8g"", ""carbs"": ""84.50g"", ""calories"": ""938""}"
Vegetable Shepherd's Pie,vegetable-shepherds-pie,A wholesome plant-based twist on a classic â€” hearty chickpeas red kidney beans cauliflower carrot and spinach crowned with a creamy sweet potato mash,,category:Grills,,,,,1100.00,,,,,"{""bgColor"": ""from-green-700 via-emerald-600 to-teal-600"", ""accentColor"": ""bg-green-600""}","[{""label"": ""Vegetarian"", ""icon"": ""ğŸŒ±""}, {""label"": ""Plant-Based"", ""icon"": ""ğŸ¥•""}, {""label"": ""High-Fiber"", ""icon"": ""ğŸŒ¾""}]","{""fat"": ""9.4g"", ""protein"": ""27.0g"", ""carbs"": ""78.4g"", ""calories"": ""562""}"
Chicken Rice Bowl,chicken-rice-bowl,Baked chicken complemented by a golden fried egg and a vibrant medley of crunchy peanuts paired with the vegetable of the day. All of this is crowned with a flavorful coconut sambol and served over a bed of fragrant steamed garlic basmati rice,,category:Rice Bowls,,,,,1400.00,,,,,"{""bgColor"": ""from-yellow-600 via-amber-500 to-orange-500"", ""accentColor"": ""bg-amber-500""}","[{""label"": ""Comfort Food"", ""icon"": ""ğŸš""}, {""label"": ""Coconut"", ""icon"": ""ğŸ¥¥""}]","{""fat"": ""26.5g"", ""protein"": ""23.8g"", ""carbs"": ""37.7g"", ""calories"": ""505""}"
Beef Rice Bowl,beef-rice-bowl,Roast Beef Slices complemented by a golden fried egg and a vibrant medley of crunchy peanuts paired with the vegetable of the day. All of this is crowned with a flavorful coconut sambol and served over a bed of fragrant steamed garlic basmati rice,,category:Rice Bowls,,,,,1500.00,,,,,"{""bgColor"": ""from-red-700 via-amber-600 to-orange-600"", ""accentColor"": ""bg-red-600""}","[{""label"": ""Hearty"", ""icon"": ""ğŸ¥©""}, {""label"": ""Protein-Rich"", ""icon"": ""ğŸ’ª""}]","{""fat"": ""26.2g"", ""protein"": ""28.4g"", ""carbs"": ""37.0g"", ""calories"": ""512""}"
Prawn Rice Bowl,prawn-rice-bowl,Garlic Prawns complemented by a golden fried egg and a vibrant medley of crunchy peanuts paired with the vegetable of the day. All of this is crowned with a flavorful coconut sambol and served over a bed of fragrant steamed garlic basmati rice,,category:Rice Bowls,,,,,1700.00,,,,,"{""bgColor"": ""from-orange-600 via-pink-500 to-red-500"", ""accentColor"": ""bg-pink-500""}","[{""label"": ""Seafood"", ""icon"": ""ğŸ¦""}, {""label"": ""Garlic"", ""icon"": ""ğŸ§„""}]","{""fat"": ""24.5g"", ""protein"": ""25.7g"", ""carbs"": ""36.6g"", ""calories"": ""484""}"
Liver Cleansing Salad,liver-cleansing-salad,Revitalize with our nutrient-packed salad featuring vibrant beetroot green lettuce creamy feta cheese juicy orange slices ripe avocado a boiled egg & a sprinkle of pumpkin seeds. Served alongside multi-seed dark brown bread for a wholesome crunch,,category:Salad Bowls,,,,,1950.00,,,,,"{""bgColor"": ""from-purple-700 via-red-600 to-pink-600"", ""accentColor"": ""bg-purple-600""}","[{""label"": ""Detox"", ""icon"": ""ğŸ§¹""}, {""label"": ""Nutrient-Dense"", ""icon"": ""ğŸ’""}, {""label"": ""Antioxidants"", ""icon"": ""ğŸ‡""}]","{""fat"": ""30.6g"", ""protein"": ""18.4g"", ""carbs"": ""31.9g"", ""calories"": ""784""}"
Green Salad,green-salad,A vibrant garden-fresh mix of green and crisp lettuces crunchy Japanese cucumber juicy tomatoes and zesty green bell pepper â€” tossed with bold black olives and delicate onion rings. Drizzled with our signature Chef's salad dressing and finished with pomegranate seeds and toasted multigrain bread for a wholesome crunch,,category:Salad Bowls,,,,,1400.00,,,,,"{""bgColor"": ""from-green-600 via-emerald-500 to-teal-500"", ""accentColor"": ""bg-green-500""}","[{""label"": ""Fresh"", ""icon"": ""ğŸ¥¬""}, {""label"": ""Low-Calorie"", ""icon"": ""ğŸ“‰""}, {""label"": ""Garden-Fresh"", ""icon"": ""ğŸŒ¿""}]","{""fat"": ""11.8g"", ""protein"": ""15.9g"", ""carbs"": ""59.9g"", ""calories"": ""447""}"
Muscle Builder Salad - Roast Beef,muscle-builder-roast-beef,A dynamic blend of mixed lettuce colorful bell peppers crisp green apple hearty quinoa flavorful onions sun-dried tomatoes and protein-packed roast beef all drizzled with a kick of green sriracha,,category:Salad Bowls,,,,,1800.00,,,,,"{""bgColor"": ""from-red-700 via-orange-600 to-amber-600"", ""accentColor"": ""bg-red-600""}","[{""label"": ""High-Protein"", ""icon"": ""ğŸ’ª""}, {""label"": ""Quinoa"", ""icon"": ""ğŸŒ¾""}, {""label"": ""Muscle-Building"", ""icon"": ""ğŸ‹ï¸""}]","{""fat"": ""5.9g"", ""protein"": ""34.9g"", ""carbs"": ""29.8g"", ""calories"": ""317""}"
Muscle Builder Salad - Baked Chicken,muscle-builder-chicken,A dynamic blend of mixed lettuce colorful bell peppers crisp green apple hearty quinoa flavorful onions sun-dried tomatoes and protein-packed baked chicken all drizzled with a kick of green sriracha,,category:Salad Bowls,,,,,1600.00,,,,,"{""bgColor"": ""from-yellow-600 via-orange-500 to-red-500"", ""accentColor"": ""bg-orange-500""}","[{""label"": ""High-Protein"", ""icon"": ""ğŸ’ª""}, {""label"": ""Lean"", ""icon"": ""ğŸƒ""}, {""label"": ""Quinoa"", ""icon"": ""ğŸŒ¾""}]","{""fat"": ""4.6g"", ""protein"": ""36.6g"", ""carbs"": ""29.8g"", ""calories"": ""308""}"
Muscle Builder Salad - Garlic Prawns,muscle-builder-prawns,A dynamic blend of mixed lettuce colorful bell peppers crisp green apple hearty quinoa flavorful onions sun-dried tomatoes and protein-packed garlic prawns all drizzled with a kick of green sriracha,,category:Salad Bowls,,,,,1800.00,,,,,"{""bgColor"": ""from-orange-600 via-pink-500 to-red-500"", ""accentColor"": ""bg-pink-500""}","[{""label"": ""Seafood"", ""icon"": ""ğŸ¦""}, {""label"": ""High-Protein"", ""icon"": ""ğŸ’ª""}, {""label"": ""Low-Calorie"", ""icon"": ""ğŸ“‰""}]","{""fat"": ""4.5g"", ""protein"": ""20.2g"", ""carbs"": ""34.2g"", ""calories"": ""263""}"
Beefed up! Roast Beef Kurakkan Roast Paan Sandwich,roast-beef-sandwich,Succulent roast beef creamy feta and sweet caramelized onions with zesty sun-dried tomato pesto served on Kurakkan Roast Paan,,category:Sandwiches,,,,,1700.00,,,,,"{""bgColor"": ""from-amber-700 via-red-600 to-orange-600"", ""accentColor"": ""bg-amber-600""}","[{""label"": ""Kurakkan Bread"", ""icon"": ""ğŸ""}, {""label"": ""High-Protein"", ""icon"": ""ğŸ’ª""}]","{""fat"": ""5.1g"", ""protein"": ""32.3g"", ""carbs"": ""7.4g"", ""calories"": ""546""}"
Honey Mustard Chicken Kurakkan Roast Paan Sandwich,honey-mustard-chicken-sandwich,Oven-baked honey mustard chicken with creamy garlic curd paste served on hearty Kurakkan Roast Paan,,category:Sandwiches,,,,,900.00,,,,,"{""bgColor"": ""from-yellow-600 via-amber-500 to-orange-500"", ""accentColor"": ""bg-yellow-500""}","[{""label"": ""Sweet & Tangy"", ""icon"": ""ğŸ¯""}, {""label"": ""Kurakkan Bread"", ""icon"": ""ğŸ""}]","{""fat"": ""3.5g"", ""protein"": ""14.4g"", ""carbs"": ""3.2g"", ""calories"": ""441""}"
Thai Spiced Chicken Kurakkan Roast Paan Sandwich,thai-spiced-chicken-sandwich,Thai-spiced chicken with creamy garlic curd paste served on hearty Kurakkan Roast Paan,,category:Sandwiches,,,,,900.00,,,,,"{""bgColor"": ""from-red-600 via-orange-500 to-yellow-500"", ""accentColor"": ""bg-orange-500""}","[{""label"": ""Spicy"", ""icon"": ""ğŸŒ¶ï¸""}, {""label"": ""Thai-Inspired"", ""icon"": ""ğŸŒ""}]","{""fat"": ""3.6g"", ""protein"": ""14.5g"", ""carbs"": ""3.1g"", ""calories"": ""442""}"
Kochchi Spiced Chicken Kurakkan Roast Paan Sandwich,kochchi-spiced-chicken-sandwich,Juicy chicken breast marinated in a fiery Kochchi spice blend layered with creamy garlic curd and zesty green Sriracha sauce on hearty Kurakkan Roast Paan,,category:Sandwiches,,,,,1100.00,,,,,"{""bgColor"": ""from-red-700 via-orange-600 to-yellow-600"", ""accentColor"": ""bg-red-600""}","[{""label"": ""Spicy"", ""icon"": ""ğŸŒ¶ï¸""}, {""label"": ""Sri Lankan"", ""icon"": ""ğŸ‡±ğŸ‡°""}]","{""fat"": ""14.0g"", ""protein"": ""21.2g"", ""carbs"": ""4.1g"", ""calories"": ""562""}"
Grilled Veggie Blast Kurakkan Roast Paan Sandwich,grilled-veggie-sandwich,A medley of grilled bell peppers zucchini and eggplant with basil pesto served on hearty Kurakkan Roast Paan,,category:Sandwiches,,,,,1000.00,,,,,"{""bgColor"": ""from-green-600 via-yellow-500 to-orange-500"", ""accentColor"": ""bg-green-500""}","[{""label"": ""Vegetarian"", ""icon"": ""ğŸŒ±""}, {""label"": ""Grilled"", ""icon"": ""ğŸ”¥""}]","{""fat"": ""15.1g"", ""protein"": ""10.7g"", ""carbs"": ""30.1g"", ""calories"": ""721""}"
Egg & Coconut Sambol Kurakkan Roast Paan Sandwich,egg-coconut-sambol-sandwich,A double-fried egg paired with mouthwatering Sri Lankan coconut sambol and creamy garlic curd paste served on hearty Kurakkan Roast Paan,,category:Sandwiches,,,,,850.00,,,,,"{""bgColor"": ""from-yellow-600 via-amber-500 to-orange-500"", ""accentColor"": ""bg-amber-500""}","[{""label"": ""Sri Lankan"", ""icon"": ""ğŸ‡±ğŸ‡°""}, {""label"": ""Coconut"", ""icon"": ""ğŸ¥¥""}, {""label"": ""Vegetarian"", ""icon"": ""ğŸŒ±""}]","{""fat"": ""19.1g"", ""protein"": ""7.0g"", ""carbs"": ""6.74g"", ""calories"": ""567""}"
Pineapple Pump,pineapple-pump,Pineapple & Honey,,category:Juices,,,,,700.00,,,,,"{""bgColor"": ""from-yellow-400 via-orange-400 to-amber-500"", ""accentColor"": ""bg-yellow-400""}","[{""label"": ""Natural"", ""icon"": ""ğŸ""}, {""label"": ""Vitamin C"", ""icon"": ""ğŸŠ""}]","{""fat"": ""0.1g"", ""protein"": ""0.1g"", ""carbs"": ""9.8g"", ""calories"": ""38""}"
Energizer,energizer,Beetroot Apple Carrot Mint,,category:Juices,,,,,1450.00,,,,,"{""bgColor"": ""from-purple-600 via-red-500 to-orange-500"", ""accentColor"": ""bg-purple-500""}","[{""label"": ""Energy Boost"", ""icon"": ""âš¡""}, {""label"": ""Antioxidants"", ""icon"": ""ğŸ‡""}, {""label"": ""Detox"", ""icon"": ""ğŸ§¹""}]","{""fat"": ""1.5g"", ""protein"": ""8.0g"", ""carbs"": ""53.6g"", ""calories"": ""320""}"
Glow Booster,glow-booster,Carrot Oranges,,category:Juices,,,,,1600.00,,,,,"{""bgColor"": ""from-orange-500 via-amber-500 to-yellow-500"", ""accentColor"": ""bg-orange-500""}","[{""label"": ""Vitamin A"", ""icon"": ""ğŸ¥•""}, {""label"": ""Skin Health"", ""icon"": ""âœ¨""}]","{""fat"": ""0.7g"", ""protein"": ""3.3g"", ""carbs"": ""33.6g"", ""calories"": ""177""}"
Energy Flow,energy-flow,Pineapple Mango Spinach Lime Apple,,category:Juices,,,,,700.00,,,,,"{""bgColor"": ""from-green-500 via-yellow-400 to-orange-400"", ""accentColor"": ""bg-green-500""}","[{""label"": ""Green Juice"", ""icon"": ""ğŸŒ¿""}, {""label"": ""Energy"", ""icon"": ""âš¡""}]","{""fat"": ""0.8g"", ""protein"": ""2.7g"", ""carbs"": ""21.1g"", ""calories"": ""102""}"
Energetic Banana Oatmeal,energetic-banana-oatmeal,Banana Curd Oats Almonds Milk,,category:Smoothies,,,,,1100.00,,,,,"{""bgColor"": ""from-yellow-500 via-amber-400 to-orange-400"", ""accentColor"": ""bg-yellow-500""}","[{""label"": ""Protein-Rich"", ""icon"": ""ğŸ’ª""}, {""label"": ""Fiber"", ""icon"": ""ğŸŒ¾""}]","{""fat"": ""8.7g"", ""protein"": ""10.2g"", ""carbs"": ""61.1g"", ""calories"": ""373""}"
Superfood Bliss,superfood-bliss,Mango Banana Oats Chia Seeds Milk,,category:Smoothies,,,,,1300.00,,,,,"{""bgColor"": ""from-yellow-500 via-orange-400 to-pink-400"", ""accentColor"": ""bg-orange-400""}","[{""label"": ""Superfood"", ""icon"": ""ğŸŒŸ""}, {""label"": ""Chia Seeds"", ""icon"": ""ğŸŒ±""}, {""label"": ""Omega-3"", ""icon"": ""ğŸŸ""}]","{""fat"": ""28.1g"", ""protein"": ""9.6g"", ""carbs"": ""43.3g"", ""calories"": ""486""}"
Passionade,passionade,Mango Banana Passionfruit Curd,,category:Smoothies,,,,,1200.00,,,,,"{""bgColor"": ""from-yellow-400 via-orange-400 to-pink-400"", ""accentColor"": ""bg-yellow-400""}","[{""label"": ""Tropical"", ""icon"": ""ğŸŒ´""}, {""label"": ""Vitamin C"", ""icon"": ""ğŸŠ""}]","{""fat"": ""3.1g"", ""protein"": ""4.8g"", ""carbs"": ""43.2g"", ""calories"": ""223""}"
Flex & the City,flex-and-city,Mango Banana Passionfruit Curd,,category:Smoothies,,,,,1200.00,,,,,"{""bgColor"": ""from-yellow-400 via-orange-400 to-pink-400"", ""accentColor"": ""bg-yellow-400""}","[{""label"": ""Tropical"", ""icon"": ""ğŸŒ´""}, {""label"": ""Creamy"", ""icon"": ""ğŸ¥›""}]","{""fat"": ""15.9g"", ""protein"": ""10.7g"", ""carbs"": ""31.6g"", ""calories"": ""307""}"
CafÃ© Americano,cafe-americano,Classic black coffee,,category:Coffee & Tea,,,,,400.00,,,,,"{""bgColor"": ""from-amber-800 via-amber-700 to-yellow-700"", ""accentColor"": ""bg-amber-700""}","[{""label"": ""Zero Calories"", ""icon"": ""ğŸ“‰""}, {""label"": ""Caffeine"", ""icon"": ""â˜•""}]","{""fat"": ""0.0g"", ""protein"": ""0.0g"", ""carbs"": ""0.0g"", ""calories"": ""0""}"
Cappuccino,cappuccino,Espresso with steamed milk foam,,category:Coffee & Tea,,,,,500.00,,,,,"{""bgColor"": ""from-amber-600 via-yellow-600 to-orange-500"", ""accentColor"": ""bg-amber-600""}","[{""label"": ""Creamy"", ""icon"": ""ğŸ¥›""}, {""label"": ""Caffeine"", ""icon"": ""â˜•""}]","{""fat"": ""3.3g"", ""protein"": ""3.2g"", ""carbs"": ""4.8g"", ""calories"": ""61""}"
Milk Tea,milk-tea,Traditional milk tea,,category:Coffee & Tea,,,,,500.00,,,,,"{""bgColor"": ""from-amber-700 via-orange-600 to-red-500"", ""accentColor"": ""bg-amber-600""}","[{""label"": ""Traditional"", ""icon"": ""ğŸ«–""}, {""label"": ""Comforting"", ""icon"": ""â˜•""}]","{""fat"": ""4.8g"", ""protein"": ""5.0g"", ""carbs"": ""19.9g"", ""calories"": ""138""}"
Green Tea,green-tea,Antioxidant-rich green tea,,category:Coffee & Tea,,,,,400.00,,,,,"{""bgColor"": ""from-green-600 via-emerald-500 to-teal-500"", ""accentColor"": ""bg-green-500""}","[{""label"": ""Antioxidants"", ""icon"": ""ğŸƒ""}, {""label"": ""Healthy"", ""icon"": ""ğŸ’š""}]","{""fat"": ""0.0g"", ""protein"": ""0.5g"", ""carbs"": ""0.0g"", ""calories"": ""2""}"
Anti Aging Miracle,anti-aging-miracle,Butterfly Pea Flower Tea,,category:Coffee & Tea,,,,,400.00,,,,,"{""bgColor"": ""from-blue-600 via-purple-500 to-pink-500"", ""accentColor"": ""bg-purple-500""}","[{""label"": ""Anti-Aging"", ""icon"": ""âœ¨""}, {""label"": ""Natural"", ""icon"": ""ğŸŒ¸""}]","{""fat"": ""0.0g"", ""protein"": ""0.0g"", ""carbs"": ""0.0g"", ""calories"": ""0""}"
Serenity in a Cup,serenity-cup,Blue Lotus Flower Tea,,category:Coffee & Tea,,,,,400.00,,,,,"{""bgColor"": ""from-blue-500 via-indigo-500 to-purple-500"", ""accentColor"": ""bg-blue-500""}","[{""label"": ""Calming"", ""icon"": ""ğŸ§˜""}, {""label"": ""Relaxing"", ""icon"": ""ğŸ’™""}]","{""fat"": ""0.0g"", ""protein"": ""0.0g"", ""carbs"": ""2.0g"", ""calories"": ""0""}"
Hibiscus Detox Delight,hibiscus-detox,Hibiscus Flower Tea,,category:Coffee & Tea,,,,,400.00,,,,,"{""bgColor"": ""from-pink-600 via-rose-500 to-red-500"", ""accentColor"": ""bg-pink-500""}","[{""label"": ""Detox"", ""icon"": ""ğŸ§¹""}, {""label"": ""Floral"", ""icon"": ""ğŸŒº""}]","{""fat"": ""0.0g"", ""protein"": ""0.0g"", ""carbs"": ""0.5g"", ""calories"": ""0""}"
Heavenly Dark Chocolate Melt,dark-chocolate-melt,Rich dark chocolate dessert,,category:Desserts,,,,,950.00,,,,,"{""bgColor"": ""from-amber-900 via-amber-800 to-red-800"", ""accentColor"": ""bg-amber-800""}","[{""label"": ""Indulgent"", ""icon"": ""ğŸ«""}, {""label"": ""Dark Chocolate"", ""icon"": ""ğŸ–¤""}]","{""fat"": ""34.3g"", ""protein"": ""7g"", ""carbs"": ""57.2g"", ""calories"": ""594""}"
Fruity Curd,fruity-curd,Fresh fruit with creamy curd,,category:Desserts,,,,,750.00,,,,,"{""bgColor"": ""from-pink-400 via-red-400 to-orange-400"", ""accentColor"": ""bg-pink-400""}","[{""label"": ""Fresh Fruit"", ""icon"": ""ğŸ“""}, {""label"": ""Light"", ""icon"": ""â˜ï¸""}]","{""fat"": ""11.9g"", ""protein"": ""7.1g"", ""carbs"": ""26.1g"", ""calories"": ""240""}"
Chocolate & Banana Granola Parfait,chocolate-banana-parfait,Layers of crunchy granola ripe banana creamy curd and rich melted dark chocolate drizzled with pure bee's honey and topped with toasted coconut chips,,category:Desserts,,,,,1100.00,,,,,"{""bgColor"": ""from-yellow-600 via-amber-600 to-orange-600"", ""accentColor"": ""bg-amber-600""}","[{""label"": ""Granola"", ""icon"": ""ğŸ¥£""}, {""label"": ""Honey"", ""icon"": ""ğŸ¯""}, {""label"": ""Coconut"", ""icon"": ""ğŸ¥¥""}]","{""fat"": ""11.6g"", ""protein"": ""9.5g"", ""carbs"": ""40.6g"", ""calories"": ""324""}"
Frutilicious-Coco Parfait,frutilicious-coco-parfait,A vibrant medley of mango & mandarin layered with creamy curd crunchy granola & oats drizzled with Bees honey and rich melted dark chocolate finished with toasted coconut chips,,category:Desserts,,,,,1100.00,,,,,"{""bgColor"": ""from-yellow-500 via-orange-500 to-pink-500"", ""accentColor"": ""bg-orange-500""}","[{""label"": ""Tropical"", ""icon"": ""ğŸŒ´""}, {""label"": ""Granola"", ""icon"": ""ğŸ¥£""}, {""label"": ""Mango"", ""icon"": ""ğŸ¥­""}]","{""fat"": ""25.7g"", ""protein"": ""20.9g"", ""carbs"": ""73.1g"", ""calories"": ""544""}"
Tropical Paradise Bowl,tropical-paradise-bowl,Overnight soaked oats topped with toasted coconut shavings mouthwatering mango juicy pineapple and nutrient-packed chia seeds,,category:Breakfast,,,,,1000.00,,,,,"{""bgColor"": ""from-yellow-400 via-orange-400 to-pink-400"", ""accentColor"": ""bg-yellow-400""}","[{""label"": ""Overnight Oats"", ""icon"": ""ğŸŒ¾""}, {""label"": ""Tropical"", ""icon"": ""ğŸŒ´""}, {""label"": ""Chia Seeds"", ""icon"": ""ğŸŒ±""}]","{""fat"": ""16.4g"", ""protein"": ""18.5g"", ""carbs"": ""72.3g"", ""calories"": ""554""}"
Mango Tango Coconut Crunch Bowl,mango-tango-bowl,Overnight soaked oats topped with luscious sweet mango ripe banana delightful crunch of pumpkin seeds sesame seeds and nutty granola star fruit slices & toasted coconut flakes,,category:Breakfast,,,,,900.00,,,,,"{""bgColor"": ""from-yellow-500 via-orange-500 to-amber-500"", ""accentColor"": ""bg-yellow-500""}","[{""label"": ""Mango"", ""icon"": ""ğŸ¥­""}, {""label"": ""Crunchy"", ""icon"": ""ğŸ¥œ""}, {""label"": ""Seeds"", ""icon"": ""ğŸŒ°""}]","{""fat"": ""16.4g"", ""protein"": ""17.4g"", ""carbs"": ""74.8g"", ""calories"": ""559""}"
Avo-licious Toast,avo-licious-toast,Luscious avocado slices paired with creamy feta cheese and a burst of sweet pomegranate on toast,,category:Breakfast,,,,,850.00,,,,,"{""bgColor"": ""from-green-500 via-lime-400 to-yellow-400"", ""accentColor"": ""bg-green-500""}","[{""label"": ""Avocado"", ""icon"": ""ğŸ¥‘""}, {""label"": ""Healthy Fats"", ""icon"": ""ğŸ’š""}, {""label"": ""Feta"", ""icon"": ""ğŸ§€""}]","{""fat"": ""20.8g"", ""protein"": ""8.2g"", ""carbs"": ""27.8g"", ""calories"": ""351""}"
Fuel up! Toast,fuel-up-toast,Creamy feta cheese meets the crunch of almond nuts all crowned with the natural sweetness of dates,,category:Breakfast,,,,,850.00,,,,,"{""bgColor"": ""from-amber-600 via-orange-500 to-yellow-500"", ""accentColor"": ""bg-amber-500""}","[{""label"": ""Almonds"", ""icon"": ""ğŸŒ°""}, {""label"": ""Dates"", ""icon"": ""ğŸ¯""}, {""label"": ""Energy"", ""icon"": ""âš¡""}]","{""fat"": ""9.5g"", ""protein"": ""9.9g"", ""carbs"": ""27.5g"", ""calories"": ""239""}"
Supercharge Omelette,supercharge-omelette,A fluffy three-egg omelet folded with sautÃ©ed garlic onion and tomato seasoned simply with salt and pepper for classic comfort,,category:Breakfast,,,,,650.00,,,,,"{""bgColor"": ""from-yellow-500 via-orange-400 to-red-400"", ""accentColor"": ""bg-yellow-500""}","[{""label"": ""High-Protein"", ""icon"": ""ğŸ’ª""}, {""label"": ""Classic"", ""icon"": ""ğŸ³""}, {""label"": ""Three Eggs"", ""icon"": ""ğŸ¥š""}]","{""fat"": ""19.1g"", ""protein"": ""17.8g"", ""carbs"": ""6.7g"", ""calories"": ""227""}"